category_key,query_ru,display_en,title,address,lat,lon,rating,org_url
pharmacy,Аптеки,Pharmacies,Древо жизни,"ул. Малыгина, 51",57.142264,65.551913,"Рейтинг 4,3 72 оценки 72 оценки",https://yandex.ru/maps/org/drevo_zhizni/1789861347/
pharmacy,Аптеки,Pharmacies,Фармленд,"Ялуторовская ул., 14",57.149787,65.533079,,https://yandex.ru/maps/org/farmlend/228959263078/
pharmacy,Аптеки,Pharmacies,Ригла,"ул. Герцена, 94, Галерея Вояж",57.145955,65.542451,,https://yandex.ru/maps/org/rigla/1703422077/
pharmacy,Аптеки,Pharmacies,Живика,"ул. Герцена, 97А",57.147103,65.543449,,https://yandex.ru/maps/org/zhivika/70880166197/
pharmacy,Аптеки,Pharmacies,Живика,"Профсоюзная ул., 70",57.15026,65.551735,,https://yandex.ru/maps/org/zhivika/162845903422/
pharmacy,Аптеки,Pharmacies,Фармленд,"ул. Республики, 39",57.155694,65.536056,,https://yandex.ru/maps/org/farmlend/1268120481/
pharmacy,Аптеки,Pharmacies,Апрель,"ул. Ленина, 71",57.150492,65.541703,,https://yandex.ru/maps/org/aprel/48272335738/
pharmacy,Аптеки,Pharmacies,Фармация,"ул. Ленина, 71, помещение 2",57.150443,65.541873,,https://yandex.ru/maps/org/farmatsiya/7903113195/
pharmacy,Аптеки,Pharmacies,Эконом,"ул. Республики, 23",57.156879,65.533316,,https://yandex.ru/maps/org/ekonom/124029256868/
pharmacy,Аптеки,Pharmacies,Планета здоровья,"ул. Осипенко, 73",57.157077,65.558636,,https://yandex.ru/maps/org/planeta_zdorovya/67115076540/
pharmacy,Аптеки,Pharmacies,Юнитасфарм,"ул. Осипенко, 41",57.158655,65.554628,,https://yandex.ru/maps/org/yunitasfarm/1116880090/
pharmacy,Аптеки,Pharmacies,"36,6","ул. Мира, 33",57.142689,65.518359,,https://yandex.ru/maps/org/36_6/1011260447/
pharmacy,Аптеки,Pharmacies,Фармленд,"ул. Чернышевского, 2А",57.155073,65.549893,,https://yandex.ru/maps/org/farmlend/195593531217/
pharmacy,Аптеки,Pharmacies,Планета здоровья,"ул. Осипенко, 79, этаж 1",57.156402,65.560891,,https://yandex.ru/maps/org/planeta_zdorovya/214731699374/
pharmacy,Аптеки,Pharmacies,Апрель,"Профсоюзная ул., 11",57.156177,65.564709,,https://yandex.ru/maps/org/aprel/153257903331/
pharmacy,Аптеки,Pharmacies,АптекаПлюс,"ул. Малыгина, 49",57.143092,65.550291,,https://yandex.ru/maps/org/aptekaplyus/107293953486/
pharmacy,Аптеки,Pharmacies,Апрель,"ул. Республики, 92",57.143488,65.557217,,https://yandex.ru/maps/org/aprel/93325432106/
pharmacy,Аптеки,Pharmacies,Фармленд,"Фабричная ул., 20",57.144782,65.563397,,https://yandex.ru/maps/org/farmlend/1570894494/
pharmacy,Аптеки,Pharmacies,Живика,"ул. Малыгина, 14",57.142731,65.549528,,https://yandex.ru/maps/org/zhivika/230568815454/
pharmacy,Аптеки,Pharmacies,Фармленд,"ул. Республики, 92/8",57.143649,65.556902,,https://yandex.ru/maps/org/farmlend/1265401340/
pharmacy,Аптеки,Pharmacies,Аптека № 1,"ул. Максима Горького, 68, корп. 3, этаж 1",57.151366,65.565056,,https://yandex.ru/maps/org/apteka_1/1716129695/
pharmacy,Аптеки,Pharmacies,Живика,"ул. Ю.-Р.Г. Эрвье, 32, корп. 1, этаж 1",57.169004,65.563532,,https://yandex.ru/maps/org/zhivika/156292980514/
pharmacy,Аптеки,Pharmacies,Фармленд,"ул. Республики, 135",57.142409,65.561807,,https://yandex.ru/maps/org/farmlend/131844352937/
pharmacy,Аптеки,Pharmacies,АптекаПлюс,"ул. 50 лет Октября, 24",57.151296,65.569228,,https://yandex.ru/maps/org/aptekaplyus/16584569750/
pharmacy,Аптеки,Pharmacies,Живика,"Холодильная ул., 120А",57.142736,65.563370,,https://yandex.ru/maps/org/zhivika/81703769800/
pharmacy,Аптеки,Pharmacies,Эконом,"Новая ул., 17",57.143444,65.500209,,https://yandex.ru/maps/org/ekonom/62072838362/
